car_id,lane,change_in_velocity,initial_velocity,final_velocity,ahead_distance,label,time_to_destination
5,1,-0.10000000000000009,1.8882750000000004,1.9882750000000005,35,Accelerate,0.252
6,0,0.0,1.588275,1.588275,29,Maintain,0.16700000000000004
7,2,0.0,5.0,5.0,60,Maintain,0.15100000000000002
3,1,0.0,3.2999700000000005,3.2999700000000005,21,Maintain,0.45799999999999996
4,0,0.0,5.0,5.0,30,Maintain,0.373
5,1,-0.09999999999999987,1.9882750000000005,2.0882750000000003,36,Accelerate,0.27
6,0,-0.10000000000000009,1.588275,1.6882750000000002,32,Accelerate,0.18500000000000005
7,2,0.0,5.0,5.0,60,Maintain,0.16900000000000004
3,1,0.0,3.2999700000000005,3.2999700000000005,23,Maintain,0.4750000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.3900000000000001
5,1,-0.10000000000000009,2.0882750000000003,2.1882750000000004,37,Accelerate,0.28700000000000014
6,0,-0.10000000000000009,1.6882750000000002,1.7882750000000003,35,Accelerate,0.20200000000000018
7,2,0.0,5.0,5.0,60,Maintain,0.18600000000000017
3,1,0.0,3.2999700000000005,3.2999700000000005,25,Maintain,0.4910000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.40600000000000014
5,1,-0.10000000000000009,2.1882750000000004,2.2882750000000005,38,Accelerate,0.30300000000000016
6,0,-0.10000000000000009,1.7882750000000003,1.8882750000000004,38,Accelerate,0.2180000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.20200000000000018
3,1,2.0,3.2999700000000005,1.2999700000000005,27,Slow down,0.5079999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.4229999999999998
5,1,-0.10000000000000009,2.2882750000000005,2.3882750000000006,39,Accelerate,0.31999999999999984
6,0,-0.10000000000000009,1.8882750000000004,1.9882750000000005,41,Accelerate,0.23499999999999988
7,2,0.0,5.0,5.0,60,Maintain,0.21899999999999986
3,1,-0.10000000000000009,1.2999700000000005,1.3999700000000006,31,Accelerate,0.5250000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.44000000000000017
5,1,-0.10000000000000009,2.3882750000000006,2.4882750000000007,38,Accelerate,0.3370000000000002
6,0,-0.09999999999999987,1.9882750000000005,2.0882750000000003,44,Accelerate,0.2520000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.2370000000000001
3,1,-0.10000000000000009,1.3999700000000006,1.4999700000000007,35,Accelerate,0.542
4,0,0.0,5.0,5.0,30,Maintain,0.4570000000000001
5,1,-0.10000000000000009,2.4882750000000007,2.5882750000000008,37,Accelerate,0.3540000000000001
6,0,-0.10000000000000009,2.0882750000000003,2.1882750000000004,47,Accelerate,0.26900000000000013
7,2,0.0,5.0,5.0,60,Maintain,0.2530000000000001
3,1,-0.10000000000000009,1.4999700000000007,1.5999700000000008,39,Accelerate,0.5589999999999999
4,0,0.0,5.0,5.0,30,Maintain,0.474
5,1,-0.10000000000000009,2.5882750000000008,2.688275000000001,35,Accelerate,0.371
6,0,-0.10000000000000009,2.1882750000000004,2.2882750000000005,50,Accelerate,0.28600000000000003
7,2,0.0,5.0,5.0,60,Maintain,0.27
3,1,-0.10000000000000009,1.5999700000000008,1.6999700000000009,42,Accelerate,0.5759999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.4909999999999999
5,1,-0.10000000000000009,2.688275000000001,2.788275000000001,34,Accelerate,0.3879999999999999
6,0,-0.10000000000000009,2.2882750000000005,2.3882750000000006,53,Accelerate,0.30299999999999994
7,2,0.0,5.0,5.0,60,Maintain,0.2869999999999999
3,1,-0.10000000000000009,1.6999700000000009,1.799970000000001,45,Accelerate,0.5940000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.5090000000000001
5,1,-0.10000000000000009,2.788275000000001,2.888275000000001,33,Accelerate,0.40600000000000014
6,0,-0.10000000000000009,2.3882750000000006,2.4882750000000007,56,Accelerate,0.3210000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.30500000000000016
8,2,0.0,5.0,5.0,35,Maintain,0.018000000000000238
3,1,-0.10000000000000009,1.799970000000001,1.899970000000001,48,Accelerate,0.6100000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.5250000000000001
5,1,-0.10000000000000009,2.888275000000001,2.988275000000001,32,Accelerate,0.42200000000000015
6,0,-0.10000000000000009,2.4882750000000007,2.5882750000000008,59,Accelerate,0.3370000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.3210000000000002
8,2,0.0,5.0,5.0,35,Maintain,0.03400000000000025
3,1,-0.10000000000000009,1.899970000000001,1.9999700000000011,51,Accelerate,0.627
4,0,0.0,5.0,5.0,30,Maintain,0.542
5,1,-0.10000000000000009,2.988275000000001,3.088275000000001,31,Accelerate,0.43900000000000006
6,0,-0.10000000000000009,2.5882750000000008,2.688275000000001,61,Accelerate,0.3540000000000001
7,2,0.0,5.0,5.0,60,Maintain,0.3380000000000001
8,2,0.0,5.0,5.0,35,Maintain,0.051000000000000156
9,1,0.7084799999999998,5.0,4.29152,8,Slow down,0.016999999999999904
3,1,-0.10000000000000009,1.9999700000000011,2.0999700000000012,54,Accelerate,0.6449999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.5599999999999998
5,1,0.0,3.088275000000001,3.088275000000001,30,Maintain,0.45699999999999985
6,0,-0.10000000000000009,2.688275000000001,2.788275000000001,63,Accelerate,0.3719999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.35599999999999987
8,2,0.0,5.0,5.0,35,Maintain,0.06899999999999995
9,1,0.8272550000000001,4.29152,3.464265,7,Slow down,0.0349999999999997
3,1,-0.10000000000000009,2.0999700000000012,2.1999700000000013,57,Accelerate,0.6609999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.5759999999999998
5,1,0.0,3.088275000000001,3.088275000000001,29,Maintain,0.47299999999999986
6,0,-0.10000000000000009,2.788275000000001,2.888275000000001,65,Accelerate,0.3879999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.3719999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.08499999999999996
9,1,0.8272550000000001,3.464265,2.63701,7,Slow down,0.05099999999999971
3,1,-0.10000000000000009,2.1999700000000013,2.2999700000000014,60,Accelerate,0.6780000000000002
4,0,0.0,5.0,5.0,30,Maintain,0.5930000000000002
5,1,0.0,3.088275000000001,3.088275000000001,28,Maintain,0.4900000000000002
6,0,-0.10000000000000009,2.888275000000001,2.988275000000001,67,Accelerate,0.40500000000000025
7,2,0.0,5.0,5.0,60,Maintain,0.38900000000000023
8,2,0.0,5.0,5.0,35,Maintain,0.10200000000000031
9,1,0.8272550000000001,2.63701,1.809755,7,Slow down,0.06800000000000006
3,1,-0.10000000000000009,2.2999700000000014,2.3999700000000015,63,Accelerate,0.6950000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.6100000000000001
5,1,0.0,3.088275000000001,3.088275000000001,27,Maintain,0.5070000000000001
6,0,-0.10000000000000009,2.988275000000001,3.088275000000001,69,Accelerate,0.42200000000000015
7,2,0.0,5.0,5.0,60,Maintain,0.40600000000000014
8,2,0.0,5.0,5.0,35,Maintain,0.11900000000000022
9,1,0.7084800000000002,1.809755,1.1012749999999998,8,Slow down,0.08499999999999996
3,1,-0.10000000000000009,2.3999700000000015,2.4999700000000016,66,Accelerate,0.7110000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.6260000000000001
5,1,0.0,3.088275000000001,3.088275000000001,26,Maintain,0.5230000000000001
6,0,-0.10000000000000009,3.088275000000001,3.1882750000000013,71,Accelerate,0.43800000000000017
7,2,0.0,5.0,5.0,60,Maintain,0.42200000000000015
8,2,0.0,5.0,5.0,35,Maintain,0.13500000000000023
9,1,0.5,1.1012749999999998,0.6012749999999998,10,Slow down,0.10099999999999998
3,1,-0.10000000000000009,2.4999700000000016,2.5999700000000017,69,Accelerate,0.728
4,0,0.0,5.0,5.0,30,Maintain,0.643
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.54
6,0,-0.10000000000000009,3.1882750000000013,3.2882750000000014,73,Accelerate,0.45500000000000007
7,2,0.0,5.0,5.0,60,Maintain,0.43900000000000006
8,2,0.0,5.0,5.0,35,Maintain,0.15200000000000014
9,1,0.32768,0.6012749999999998,0.27359499999999976,12,Slow down,0.11799999999999988
3,1,-0.10000000000000009,2.5999700000000017,2.6999700000000018,71,Accelerate,0.7449999999999999
4,0,0.0,5.0,5.0,30,Maintain,0.6599999999999999
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.5569999999999999
6,0,-0.10000000000000009,3.2882750000000014,3.3882750000000015,75,Accelerate,0.472
7,2,0.0,5.0,5.0,60,Maintain,0.45599999999999996
8,2,0.0,5.0,5.0,35,Maintain,0.16900000000000004
9,1,0.134375,0.27359499999999976,0.13921999999999976,15,Slow down,0.1349999999999998
3,1,-0.10000000000000009,2.6999700000000018,2.799970000000002,73,Accelerate,0.7619999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.6769999999999998
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.5739999999999998
6,0,-0.10000000000000009,3.3882750000000015,3.4882750000000016,77,Accelerate,0.4889999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.47299999999999986
8,2,0.0,5.0,5.0,35,Maintain,0.18599999999999994
9,1,0.022879999999999998,0.13921999999999976,0.11633999999999976,18,Slow down,0.1519999999999997
3,1,-0.10000000000000009,2.799970000000002,2.899970000000002,75,Accelerate,0.7790000000000001
